feature,description,rf_importance,perm_importance_mean,perm_importance_std,pearson_corr_with_Tc
wtd_entropy_FusionHeat,Atomic-fraction-weighted entropy-like measure of how heterogeneous the heat of fusion (fusion enthalpy) of constituent elements are across different elements in the compound.,0.004977165478046292,0.006955390037598641,0.0006884491172799948,0.5635358833656114
wtd_entropy_ThermalConductivity,Atomic-fraction-weighted entropy-like measure of how heterogeneous the thermal conductivity of constituent elements are across different elements in the compound.,0.010820759110150437,0.010739994120276753,0.0007878738644498821,-0.11109126247488445
wtd_entropy_Valence,Atomic-fraction-weighted entropy-like measure of how heterogeneous the valence electron count of constituent elements are across different elements in the compound.,0.004154699428163586,0.0015987868892328506,0.00023750822160067305,0.590371066618156
wtd_entropy_atomic_mass,Atomic-fraction-weighted entropy-like measure of how heterogeneous the atomic mass of constituent elements are across different elements in the compound.,0.003911198044157388,0.0015535631064019007,0.00018211771861585362,0.6260363304564945
wtd_entropy_atomic_radius,Atomic-fraction-weighted entropy-like measure of how heterogeneous the atomic radius of constituent elements are across different elements in the compound.,0.003019600770762319,0.0008683086023374087,0.0002029422317539837,0.6038186279713553
wtd_gmean_ThermalConductivity,Atomic-fraction-weighted geometric mean of the thermal conductivity of constituent elements in the compound.,0.1259232974015005,0.08165162303612333,0.004297369681439193,-0.3699058035878325
wtd_gmean_Valence,Atomic-fraction-weighted geometric mean of the valence electron count of constituent elements in the compound.,0.018446909026720602,0.031738092758098115,0.0011010289983852189,-0.6154519582688243
wtd_mean_ThermalConductivity,Atomic-fraction-weighted arithmetic mean of the thermal conductivity of constituent elements in the compound.,0.008752271211667075,0.004023542013628844,0.0005905258013231223,0.3886113379233986
wtd_mean_Valence,Atomic-fraction-weighted arithmetic mean of the valence electron count of constituent elements in the compound.,0.01059272571043286,0.01066262139729145,0.0006663953683672891,-0.6315421256490814
wtd_mean_atomic_mass,Atomic-fraction-weighted arithmetic mean of the atomic mass of constituent elements in the compound.,0.006847592264497827,0.005355891112379152,0.0003376465479578608,-0.311619411975071
wtd_range_Valence,"Range-like measure of the valence electron count of constituent elements, taking stoichiometric fractions into account.",0.009580624572683164,0.010559797164714136,0.0005405334673751682,-0.44093804524234825
wtd_range_atomic_mass,"Range-like measure of the atomic mass of constituent elements, taking stoichiometric fractions into account.",0.008789489893038986,0.007978097479794055,0.0006946898380832252,-0.336821418193173
wtd_range_fie,"Range-like measure of the first ionization energy of constituent elements, taking stoichiometric fractions into account.",0.0070678562495491565,0.005742097345891761,0.0006343748226147244,0.29738299137371027
wtd_std_ElectronAffinity,Atomic-fraction-weighted standard deviation of the electron affinity of constituent elements among the elements in the compound.,0.009723250583777843,0.01048283007788765,0.0006195879479182442,0.3139359137325096
wtd_std_ThermalConductivity,Atomic-fraction-weighted standard deviation of the thermal conductivity of constituent elements among the elements in the compound.,0.009967274788401734,0.009939738228734285,0.0005560003776336808,0.7201339450273854
wtd_std_Valence,Atomic-fraction-weighted standard deviation of the valence electron count of constituent elements among the elements in the compound.,0.009348939589613556,0.010298819106368585,0.0007093704623321249,-0.29456302136741774
wtd_std_atomic_radius,Atomic-fraction-weighted standard deviation of the atomic radius of constituent elements among the elements in the compound.,0.004526549160465935,0.0023524025715957243,0.00020722625109434087,0.5951440104498019
wtd_std_fie,Atomic-fraction-weighted standard deviation of the first ionization energy of constituent elements among the elements in the compound.,0.0036779879616910508,0.0008962978590740355,0.00017099071976573712,0.5789807961613066
